Game,Engine,Player,Input,Output
Chess,SuperEngine, w, , h6c6
Chess,SuperEngine, b, h6c6 , g3g2
Chess,SuperEngine, w, h6c6 g3g2 , b5d6
Chess,SuperEngine, b, h6c6 g3g2 b5d6 , b2b4
Chess,SuperEngine, w, h6c6 g3g2 b5d6 b2b4 , e4d5
Chess,SuperEngine, b, h6c6 g3g2 b5d6 b2b4 e4d5 , g2c5
Chess,SuperEngine, w, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 , a2d4
Chess,SuperEngine, b, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 , a5h5
Chess,SuperEngine, w, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 , h1h2
Chess,SuperEngine, b, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 , d2a6
Chess,SuperEngine, w, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 , d4b5
Chess,SuperEngine, b, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 , f7f4
Chess,SuperEngine, w, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 , a5d2
Chess,SuperEngine, b, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 , c3b7
Chess,SuperEngine, w, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 , b6g1
Chess,SuperEngine, b, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 , h6g1
Chess,SuperEngine, w, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 , a6g5
Chess,SuperEngine, b, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 a6g5 , c4c6
Chess,SuperEngine, w, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 a6g5 c4c6 , h7b1
Chess,SuperEngine, b, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 a6g5 c4c6 h7b1 , b1g3
Chess,SuperEngine, w, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 a6g5 c4c6 h7b1 b1g3 , d1d7
Chess,SuperEngine, b, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 a6g5 c4c6 h7b1 b1g3 d1d7 , a5e4
Chess,SuperEngine, w, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 a6g5 c4c6 h7b1 b1g3 d1d7 a5e4 , h1g3
Chess,SuperEngine, b, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 a6g5 c4c6 h7b1 b1g3 d1d7 a5e4 h1g3 , b1a1
Chess,SuperEngine, w, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 a6g5 c4c6 h7b1 b1g3 d1d7 a5e4 h1g3 b1a1 , g6f2
Chess,SuperEngine, b, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 a6g5 c4c6 h7b1 b1g3 d1d7 a5e4 h1g3 b1a1 g6f2 , c1d5
Chess,SuperEngine, w, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 a6g5 c4c6 h7b1 b1g3 d1d7 a5e4 h1g3 b1a1 g6f2 c1d5 , b3f5
Chess,SuperEngine, b, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 a6g5 c4c6 h7b1 b1g3 d1d7 a5e4 h1g3 b1a1 g6f2 c1d5 b3f5 , h6a3
Chess,SuperEngine, w, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 a6g5 c4c6 h7b1 b1g3 d1d7 a5e4 h1g3 b1a1 g6f2 c1d5 b3f5 h6a3 , e4e7
Chess,SuperEngine, b, h6c6 g3g2 b5d6 b2b4 e4d5 g2c5 a2d4 a5h5 h1h2 d2a6 d4b5 f7f4 a5d2 c3b7 b6g1 h6g1 a6g5 c4c6 h7b1 b1g3 d1d7 a5e4 h1g3 b1a1 g6f2 c1d5 b3f5 h6a3 e4e7 , h5h3
ChineseChess,Dragon, w, , a2i7
ChineseChess,Dragon, b, a2i7 , e3c1
ChineseChess,Dragon, w, a2i7 e3c1 , b5a2
ChineseChess,Dragon, b, a2i7 e3c1 b5a2 , i1d1
ChineseChess,Dragon, w, a2i7 e3c1 b5a2 i1d1 , c2i2
ChineseChess,Dragon, b, a2i7 e3c1 b5a2 i1d1 c2i2 , d9d6
ChineseChess,Dragon, w, a2i7 e3c1 b5a2 i1d1 c2i2 d9d6 , c2f9
ChineseChess,Dragon, b, a2i7 e3c1 b5a2 i1d1 c2i2 d9d6 c2f9 , c2a7
ChineseChess,Dragon, w, a2i7 e3c1 b5a2 i1d1 c2i2 d9d6 c2f9 c2a7 , d6h7
ChineseChess,Dragon, b, a2i7 e3c1 b5a2 i1d1 c2i2 d9d6 c2f9 c2a7 d6h7 , g5d7
ChineseChess,Dragon, w, a2i7 e3c1 b5a2 i1d1 c2i2 d9d6 c2f9 c2a7 d6h7 g5d7 , i9a4
ChineseChess,Dragon, b, a2i7 e3c1 b5a2 i1d1 c2i2 d9d6 c2f9 c2a7 d6h7 g5d7 i9a4 , g9b6
