Game,Engine,Player,Input,Output
Chess,SuperEngine, w, , d7e4
Chess,SuperEngine, b, d7e4 , a1a6
Chess,SuperEngine, w, d7e4 a1a6 , h6a1
Chess,SuperEngine, b, d7e4 a1a6 h6a1 , b2b5
Chess,SuperEngine, w, d7e4 a1a6 h6a1 b2b5 , g6b7
Chess,SuperEngine, b, d7e4 a1a6 h6a1 b2b5 g6b7 , h1b7
Chess,SuperEngine, w, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 , h1b1
Chess,SuperEngine, b, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 , c2d6
Chess,SuperEngine, w, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 , g3g5
Chess,SuperEngine, b, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 , h4e6
Chess,SuperEngine, w, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 , c1d5
Chess,SuperEngine, b, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 , c7e2
Chess,SuperEngine, w, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 , b6g6
Chess,SuperEngine, b, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 , h3a3
Chess,SuperEngine, w, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 , e5d4
Chess,SuperEngine, b, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 , d5f7
Chess,SuperEngine, w, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 d5f7 , e2e2
Chess,SuperEngine, b, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 d5f7 e2e2 , c7f2
Chess,SuperEngine, w, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 d5f7 e2e2 c7f2 , h6h6
Chess,SuperEngine, b, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 d5f7 e2e2 c7f2 h6h6 , f6e7
Chess,SuperEngine, w, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 d5f7 e2e2 c7f2 h6h6 f6e7 , g2a5
Chess,SuperEngine, b, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 d5f7 e2e2 c7f2 h6h6 f6e7 g2a5 , g1e6
Chess,SuperEngine, w, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 d5f7 e2e2 c7f2 h6h6 f6e7 g2a5 g1e6 , c4a2
Chess,SuperEngine, b, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 d5f7 e2e2 c7f2 h6h6 f6e7 g2a5 g1e6 c4a2 , h3h1
Chess,SuperEngine, w, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 d5f7 e2e2 c7f2 h6h6 f6e7 g2a5 g1e6 c4a2 h3h1 , d4c2
Chess,SuperEngine, b, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 d5f7 e2e2 c7f2 h6h6 f6e7 g2a5 g1e6 c4a2 h3h1 d4c2 , a3f7
Chess,SuperEngine, w, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 d5f7 e2e2 c7f2 h6h6 f6e7 g2a5 g1e6 c4a2 h3h1 d4c2 a3f7 , b6c6
Chess,SuperEngine, b, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 d5f7 e2e2 c7f2 h6h6 f6e7 g2a5 g1e6 c4a2 h3h1 d4c2 a3f7 b6c6 , b5g6
Chess,SuperEngine, w, d7e4 a1a6 h6a1 b2b5 g6b7 h1b7 h1b1 c2d6 g3g5 h4e6 c1d5 c7e2 b6g6 h3a3 e5d4 d5f7 e2e2 c7f2 h6h6 f6e7 g2a5 g1e6 c4a2 h3h1 d4c2 a3f7 b6c6 b5g6 , b7a6
ChineseChess,Dragon, w, , c3e6
ChineseChess,Dragon, b, c3e6 , h4a4
ChineseChess,Dragon, w, c3e6 h4a4 , h5f2
ChineseChess,Dragon, b, c3e6 h4a4 h5f2 , a5e3
ChineseChess,Dragon, w, c3e6 h4a4 h5f2 a5e3 , c6d9
